OBJECTID,NAME,PMA,PARKSBND_AREA,SHAPE_Length,SHAPE_Area
209,INTERLAKEN PARK,3023,2282241.619411,19337.8874750429,2282232.49045304
210,INVERNESS RAVINE PARK,4001,117976.468594,2299.05671097717,117975.996688937
211,JACKSON PARK GOLF COURSE,327,6635258.255657,11770.1286968812,6635231.71464629
212,JEFFERSON PARK,114,1970606.45785,7450.24564419591,1970598.57543358
213,JEFFERSON PARK GOLF COURSE,4153,5257203.117929,15450.3082239696,5257182.08914136
214,JIM ELLIS FREEWAY PARK,312,225457.724466,5515.35251282664,225456.822633929
215,JIMI HENDRIX PARK,3121,100665.047825,1277.66718028591,100664.645164464
216,"JOHN C. LITTLE, SR. PARK",429,250912.305185,3199.47086622408,250911.30153674
217,JUDGE CHARLES M. STOKES OVERLOOK,4244,228350.503207,2859.2245682663,228349.589805314
218,JUDKINS PARK AND PLAYFIELD,397,805950.934556,6805.13753392392,805947.710756909
219,JULIA LEE'S PARK,4627,10880.332422,423.395377738394,10880.2889007563
220,JUNCTION PLAZA PARK,4455,6810.456801,359.087361566682,6810.4295593869
221,KATIE BLACKS GARDEN,3122,28462.987738,727.78855926304,28462.8738855108
222,KERRY PARK (FRANKLIN PLACE),342,13622.467028,550.275589324936,13622.4125379352
223,KERRY PARK AND VIEWPOINT,342,55047.774228,1012.37056658458,55047.5540369031
224,KEYSTONE PLACE,3880,9778.895875,617.890430260829,9778.85675963607
225,KILBOURNE PARK,459,28958.805241,1270.2659008317,28958.6894054523
226,KINGFISHER NATURAL AREA ON THORNTON CREEK,4480,653544.968893,12752.875056528,653542.354716987
227,KINNEAR PARK,314,614668.460841,4172.74989130772,614666.002168666
228,KINNEAR PLACE,315,4014.304504,387.278554820994,4014.28844653583
229,KIRKE PARK,4468,39072.422714,981.480622975721,39072.2664237605
230,KIWANIS MEMORIAL PRESERVE PARK,246,704806.258897,9137.98859752601,704803.43967301
231,KIWANIS RAVINE OVERLOOK,4429,13176.736446,460.163433941661,13176.6837390403
232,KUBOTA GARDENS,415,843571.04675,4520.36656121162,843567.672469063
233,KUBOTA GARDENS NATURAL AREA,262,931486.183261,8624.58748185682,931482.457322137
234,LAKE CITY MEMORIAL TRIANGLE,333,233.711195,86.5290669823426,233.710259892742
235,LAKE CITY PARK,487,7398.287668,407.194195607563,7398.25807442332
